FY,Received From,Value,Party (specific),Party Group,Receipt type,Category,Subcategory,AEC
2022,"Construction, Forestry, Maritime, Mining and Energy Union","1,000,000",Labor (Fed),Labor,Donation Received,Union,,🔗
2022,"Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division","1,000,000",Labor (Fed),Labor,Donation Received,Union,,🔗
2022,Westpac Banking Corporation,"1,000,000",Labor (Fed),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Westpac Banking Corporation,"1,000,000",Labor (Fed),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,Stonehill Nominees Pty Ltd,"972,287",WA Party,,Donation Received,Services & Retail Sector,Retail & Service,🔗
2022,Country Labor (NSW),"879,654",Labor (NSW),Labor,Other Receipt,Intra-Political Party,,🔗
2022,Cormack Foundation Pty Ltd,"867,871",Liberals (VIC),Liberal/Nationals,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,"Construction, Forestry, Maritime, Mining and Energy Union","750,000",Labor (Fed),Labor,Other Receipt,Union,,🔗
2022,Mineralogy Pty Ltd,"671,045",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,ECSA,"652,533",Greens (SA),Greens,Other Receipt,Government,,🔗
2022,Electoral Commission of Queensland,"647,199",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,Electoral Commission of Queensland,"647,199",Labor (QLD),Labor,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"630,177",Animal Justice,,Other Receipt,Government,,🔗
2022,Labor (VIC),"615,000",Labor (Fed),Labor,Donation Received,Intra-Political Party,,🔗
2022,Labor Holdings Pty Ltd,"600,000",Labor (Fed),Labor,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,Electoral Commission of Queensland,"587,024",LNP QLD,Liberal/Nationals,Other Receipt,Government,,🔗
2022,Electoral Commission of Queensland,"587,024",LNP QLD,Liberal/Nationals,Other Receipt,Government,,🔗
2022,Westpac Banking Corporation,"540,000",Nationals (NSW),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,Jefferson Investments Pty Limited,"500,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Banking and Finance Industry,,🔗
2022,"Construction, Forestry, Maritime, Mining and Energy Union","500,000",Labor (Fed),Labor,Donation Received,Union,,🔗
2022,"Shop, Distributive & Allied Employees' Association - National","500,000",Labor (Fed),Labor,Donation Received,Union,,🔗
2022,"Shop, Distributive & Allied Employees' Association - National","500,000",Labor (Fed),Labor,Donation Received,Union,,🔗
2022,United Workers Union,"500,000",Labor (Fed),Labor,Donation Received,Union,,🔗
2022,United Workers Union,"500,000",Labor (Fed),Labor,Donation Received,Union,,🔗
2022,Mineralogy Pty Ltd,"480,426",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,NSW Electoral Commission,"454,500",Liberals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"454,500",Liberals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"454,500",Liberals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"454,500",Labor (NSW),Labor,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"454,500",Labor (NSW),Labor,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"454,500",Labor (NSW),Labor,Other Receipt,Government,,🔗
2022,Greens (Fed),"450,943",Greens (VIC),Greens,Donation Received,Intra-Political Party,,🔗
2022,The Greenfields Foundation,"450,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,MSZ Australian Romance,"445,783",Liberals (SA),Liberal/Nationals,Donation Received,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,NSW Electoral Commission,"440,650",Liberals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"440,650",Liberals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"440,650",Liberals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"440,650",Liberals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"440,650",Liberals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"440,650",Labor (NSW),Labor,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"440,650",Labor (NSW),Labor,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"440,650",Labor (NSW),Labor,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"440,650",Labor (NSW),Labor,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"440,650",Labor (NSW),Labor,Other Receipt,Government,,🔗
2022,Labor Services & Holdings,"400,000",Labor (VIC),Labor,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,Greens (VIC),"377,590",Greens (Fed),Greens,Other Receipt,Intra-Political Party,,🔗
2022,Kooyong 200 Club,"360,000",Liberals (VIC),Liberal/Nationals,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,Australian Taxation Office,"350,722",Labor (Fed),Labor,Other Receipt,Government,,🔗
2022,Pratt Holdings Pty Ltd,"350,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Manufacturing and Heavy Industry,,🔗
2022,Bunori Pty Limited,"350,000",Liberals (NSW),Liberal/Nationals,Other Receipt,Political Fundraising Bodies,Associated Entities,🔗
2022,LB Conservation Trust,"350,000",Greens (VIC),Greens,Donation Received,Unknown,,🔗
2022,NSW Electoral Commission,"341,800",Nationals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"341,800",Nationals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Mr Duncan Turpie,"334,000",Greens (Fed),Greens,Donation Received,Individual,,🔗
2022,NSW Electoral Commission,"331,450",Nationals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"331,450",Nationals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"331,450",Nationals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"331,450",Nationals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Department of Finance,"330,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Department of Finance,"330,000",Labor (Fed),Labor,Other Receipt,Government,,🔗
2022,Shop Distributive & Allied Employees' Association of Western Australia,"305,250",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,Liral Investments No. 4 Pty Ltd,"304,000",LNP QLD,Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,NSW Electoral Commission,"300,250",Nationals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"300,250",Nationals (NSW),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Hemmes Trading Pty Ltd,"300,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Gambling - Tobacco - Alcohol,Hotels/Clubs,🔗
2022,Sugolena Holdings Pty Ltd,"300,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Sugolena Holdings Pty Ltd,"300,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Group Administration Australia Pty Ltd,"300,000",Liberals (VIC),Liberal/Nationals,Donation Received,Banking and Finance Industry,,🔗
2022,The Gandel Group,"300,000",Liberals (VIC),Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Jefferson Investments Pty Limited,"300,000",Liberals (WA),Liberal/Nationals,Donation Received,Banking and Finance Industry,,🔗
2022,Department of Finance,"294,990",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Government,,🔗
2022,WhiteStone Strategic (Nation Builder),"263,483",Country Liberals (NT),Liberal/Nationals,Donation Received,Consultancies and Law Firms,Consulting,🔗
2022,Victorian Electoral Commission,"262,357",Animal Justice,,Other Receipt,Government,,🔗
2022,United Workers Union,"253,925",Labor (QLD),Labor,Other Receipt,Union,,🔗
2022,Mineralogy Pty Ltd,"250,000",Liberal Democrats,Lib Democrats,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,"Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division","250,000",Greens (Fed),Greens,Donation Received,Union,,🔗
2022,"Construction, Forestry, Maritime, Mining and Energy Union","250,000",Labor (Fed),Labor,Donation Received,Union,,🔗
2022,Pratt Holdings Pty Ltd,"250,000",Labor (Fed),Labor,Donation Received,Manufacturing and Heavy Industry,,🔗
2022,Kin Group,"250,000",Liberals (VIC),Liberal/Nationals,Donation Received,Services & Retail Sector,Transportation,🔗
2022,Oryxium Investments Limited,"250,000",Liberals (VIC),Liberal/Nationals,Donation Received,Banking and Finance Industry,,🔗
2022,Oryxium Investments Limited,"250,000",Liberals (NSW),Liberal/Nationals,Donation Received,Banking and Finance Industry,,🔗
2022,mr michael siddle,"250,000",Liberals (NSW),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Pratt Holdings Pty Ltd,"250,000",Nationals (Fed),Liberal/Nationals,Donation Received,Manufacturing and Heavy Industry,,🔗
2022,Shop Distributive and Allied Employees Association (QLD Branch),"246,496",Labor (QLD),Labor,Other Receipt,Union,,🔗
2022,Health Services Union NSW,"245,124",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,Labor (NSW),"245,025",Labor (Fed),Labor,Donation Received,Intra-Political Party,,🔗
2022,Shop Distributive & Allied Employees Association - VIC Branch,"243,602",Labor (VIC),Labor,Other Receipt,Union,,🔗
2022,SA Progressive Business Incorporated,"234,904",Labor (SA),Labor,,Political Fundraising Bodies,Associated Entities,🔗
2022,Community and Public Sector Union (PSU Group),"233,202",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,Department of Finance,"220,000",Greens (Fed),Greens,Other Receipt,Government,,🔗
2022,United Workers Union,"218,902",Labor (VIC),Labor,Other Receipt,Union,,🔗
2022,1973 Foundation Pty Ltd,"217,297",Labor (ACT),Labor,Other Receipt,Political Fundraising Bodies,Associated Entities,🔗
2022,Greens (QLD),"217,013",Greens (Fed),Greens,Other Receipt,Intra-Political Party,,🔗
2022,CFMEU Construction & General Division Vic Branch,"214,003",Labor (VIC),Labor,Other Receipt,Union,,🔗
2022,Victorian Electoral Commission,"212,722",Nationals (VIC),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Holypeak Pty Ltd,"200,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Services & Retail Sector,Transportation,🔗
2022,Vatello,"200,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Manderrah Pty Limited,"200,000",Liberals (VIC),Liberal/Nationals,Donation Received,Banking and Finance Industry,,🔗
2022,"Nguyen, Thao","200,000",Liberals (VIC),Liberal/Nationals,Donation Received,Individual,,🔗
2022,United Workers Union,"200,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Climate 200 Pty Limited,"200,000",Centre Alliance,,Donation Received,Lobbying Firms,,🔗
2022,Pickard Retirement Pty Ltd,"200,000",Labor (SA),Labor,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Australian Taxation Office,"198,603",Liberals (VIC),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Labor Services & Holdings,"198,000",Labor (VIC),Labor,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,Liberals (NSW),"195,000",Liberals (VIC),Liberal/Nationals,Donation Received,Intra-Political Party,,🔗
2022,Australian Taxation Office,"194,248",Liberals (WA),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Transcendent Australia,"190,322",Liberal Party (Fed),Liberal/Nationals,Donation Received,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,Transcendent Australia,"190,322",Liberal Party (Fed),Liberal/Nationals,Donation Received,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,Health Services Union NSW,"190,000",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,JB Turner Mudguards,"190,000",Liberal Democrats,Lib Democrats,Donation Received,Unknown,,🔗
2022,National Policy Forum,"180,000",Nationals (Fed),Liberal/Nationals,Donation Received,Political Fundraising Bodies,,🔗
2022,National Policy Forum,"180,000",Nationals (Fed),Liberal/Nationals,Donation Received,Political Fundraising Bodies,,🔗
2022,National Policy Forum,"180,000",Nationals (Fed),Liberal/Nationals,Donation Received,Political Fundraising Bodies,,🔗
2022,Automotive Food Metals Engineering Printing & Kindred Ind. Union,"180,000",Labor (Fed),Labor,Donation Received,Union,,🔗
2022,Australian Services Union - Victorian & Tasmanian Authorities & Services Branch,"176,737",Labor (VIC),Labor,Other Receipt,Union,,🔗
2022,Mr Ian Wall,"175,000",Liberals (SA),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Mrs Pamela Wall,"175,000",Liberals (SA),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Bayside Forum,"175,000",Liberals (VIC),Liberal/Nationals,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,Australian Taxation Office,"170,885",Labor (VIC),Labor,Other Receipt,Government,,🔗
2022,New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union,"170,000",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,Pratt Holdings Pty Ltd,"170,000",Liberals (VIC),Liberal/Nationals,Donation Received,Manufacturing and Heavy Industry,,🔗
2022,United Workers Union,"161,152",Labor (SA),Labor,Donation Received,Union,,🔗
2022,Liberal Democrats,"160,777",Liberal Democrats (Vic),Lib Democrats,Other Receipt,Intra-Political Party,,🔗
2022,United Workers Union,"156,288",Labor (NSW),Labor,Donation Received,Union,,🔗
2022,The Pinnacle Club,"155,000",Liberals (VIC),Liberal/Nationals,Donation Received,Gambling - Tobacco - Alcohol,Hotels/Clubs,🔗
2022,Australian Taxation Office,"153,381",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Government,,🔗
2022,CFMEU Construction & General Division Vic Branch,"150,000",Labor (VIC),Labor,Donation Received,Union,,🔗
2022,CFMEU Construction & General Division Vic Branch,"150,000",Labor (VIC),Labor,Donation Received,Union,,🔗
2022,Turner Components PTY LTD,"150,000",Liberal Democrats (Vic),Lib Democrats,Donation Received,Unknown,,🔗
2022,National Automotive Leasing & Salary Packaging Ass,"150,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Consultancies and Law Firms,Consulting,🔗
2022,Andrew James,"150,000",Liberals (VIC),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Cornelius Horgan,"150,000",Liberals (VIC),Liberal/Nationals,Donation Received,Individual,,🔗
2022,DBM Investments PL,"150,000",Liberals (VIC),Liberal/Nationals,Donation Received,Uncategorised Company,,🔗
2022,Regional Express Holdings Ltd,"150,000",Nationals (Fed),Liberal/Nationals,Donation Received,Services & Retail Sector,Transportation,🔗
2022,Mineralogy Pty Ltd,"150,000",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Labor (QLD),"150,000",Labor (Fed),Labor,Donation Received,Intra-Political Party,,🔗
2022,Labor (WA),"150,000",Labor (Fed),Labor,Donation Received,Intra-Political Party,,🔗
2022,NSW Electoral Commission,"148,600",Greens (NSW),Greens,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"148,600",Greens (NSW),Greens,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"148,600",Greens (NSW),Greens,Other Receipt,Government,,🔗
2022,Labor (VIC),"145,000",Labor (Fed),Labor,Donation Received,Intra-Political Party,,🔗
2022,NSW Electoral Commission,"144,450",Greens (NSW),Greens,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"144,250",Greens (NSW),Greens,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"144,250",Greens (NSW),Greens,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"144,250",Greens (NSW),Greens,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"144,250",Greens (NSW),Greens,Other Receipt,Government,,🔗
2022,NSW Electoral Commission,"144,250",Greens (NSW),Greens,Other Receipt,Government,,🔗
2022,Department of Finance,"141,998",Nationals (Fed),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Nationals (Fed),"140,000",Country Liberals (NT),Liberal/Nationals,Donation Received,Intra-Political Party,,🔗
2022,CEPU Plumbing Division Federal Office,"140,000",Greens (Fed),Greens,Donation Received,Union,,🔗
2022,The Australian Workers Union of Employees Queensland,"138,752",Labor (QLD),Labor,Other Receipt,Union,,🔗
2022,"Construction, Forestry, Maritime, Mining and Energy Union","138,009",Labor (QLD),Labor,Other Receipt,Union,,🔗
2022,Electoral Commission of Queensland,"136,981",Greens (QLD),Greens,Other Receipt,Government,,🔗
2022,Electoral Commission of Queensland,"136,981",Greens (QLD),Greens,Other Receipt,Government,,🔗
2022,CAVU Pty Ltd,"135,460",One Nation (Fed),One Nation,Other Receipt,Gambling - Tobacco - Alcohol,Alcohol,🔗
2022,Pratt Holdings Pty Ltd,"132,000",Labor (Fed),Labor,Other Receipt,Manufacturing and Heavy Industry,,🔗
2022,HR Legal,"130,517",Liberals (VIC),Liberal/Nationals,Other Receipt,Consultancies and Law Firms,Law Firms,🔗
2022,Shop Distributive & Allied Employees Association South Australian Branch (Federal Body),"125,651",Labor (SA),Labor,Donation Received,Union,,🔗
2022,"Construction, Forestry, Maritime, Mining and Energy Union","125,000",Labor (SA),Labor,Donation Received,Union,,🔗
2022,Liberals (NSW),"125,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Intra-Political Party,,🔗
2022,Victorian Electoral Commission,"121,268",Nationals (VIC),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Manderrah Pty Limited,"120,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,PWC PriceWaterhouseCoopers,"120,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Consultancies and Law Firms,Accounting/Advisory,🔗
2022,Liberals (NSW),"120,000",Country Liberals (NT),Liberal/Nationals,Donation Received,Intra-Political Party,,🔗
2022,ASX Limited,"120,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Banking and Finance Industry,,🔗
2022,ASX Limited,"120,000",Labor (Fed),Labor,Other Receipt,Banking and Finance Industry,,🔗
2022,National Automotive Leasing & Salary Packaging Ass,"120,000",Labor (Fed),Labor,Other Receipt,Consultancies and Law Firms,Consulting,🔗
2022,Victorian Electoral Commission,"118,266",Nationals (VIC),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Victorian Electoral Commission,"116,981",Nationals (VIC),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Greens (NSW),"116,112",Greens (Fed),Greens,Other Receipt,Intra-Political Party,,🔗
2022,Liberal Party (Fed),"115,740",Liberals (NSW),Liberal/Nationals,Other Receipt,Intra-Political Party,,🔗
2022,Victorian Electoral Commission,"115,695",Nationals (VIC),Liberal/Nationals,Other Receipt,Government,,🔗
2022,LNP QLD,"115,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Intra-Political Party,,🔗
2022,Caroline Le Couteur,"115,000",Greens (Fed),Greens,Donation Received,Unknown,,🔗
2022,Automotive Food Metals Engineering Printing & Kindred Ind. Union,"112,793",Labor (VIC),Labor,Other Receipt,Union,,🔗
2022,Wesfarmers Limited,"110,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Jason McClintock,"110,000",Liberals (VIC),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Liberal Party (Fed),"110,000",Liberals (VIC),Liberal/Nationals,Donation Received,Intra-Political Party,,🔗
2022,Sportsbet,"110,000",Labor (Fed),Labor,Other Receipt,Gambling - Tobacco - Alcohol,Gambling Industry,🔗
2022,The Pharmacy Guild of Australia,"110,000",Labor (Fed),Labor,Other Receipt,Pharma & Private Health Industry,Pharmaceutical Corporations,🔗
2022,Wesfarmers Limited,"110,000",Labor (Fed),Labor,Other Receipt,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Industrial Printing and Property Pty Ltd,"108,695",Labor (VIC),Labor,Other Receipt,Services & Retail Sector,Retail & Service,🔗
2022,John Curtin House Limited,"107,674",Labor (Fed),Labor,Other Receipt,Political Fundraising Bodies,Associated Entities,🔗
2022,Sugolena Holdings Pty Ltd,"105,000",Liberals (NSW),Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Broker - Share Sale on Market - Canaccord Genuity,"104,244",The Liberal Party of Western Australia Pty Ltd,,Other Receipt,Banking and Finance Industry,,🔗
2022,Mineralogy Pty Ltd,"104,103",Palmer's UAP,Palmer/United Aus,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,Labor (VIC),"103,921",Labor (Fed),Labor,Donation Received,Intra-Political Party,,🔗
2022,Department of Finance,"101,394",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Government,,🔗
2022,Australian Taxation Office,"101,177",Labor (SA),Labor,Other Receipt,Government,,🔗
2022,Nationals (NSW),"100,642",Nationals (Fed),Liberal/Nationals,Other Receipt,Intra-Political Party,,🔗
2022,Electrical Trades Union of Australia - Victoria Branch,"100,303",Labor (VIC),Labor,Other Receipt,Union,,🔗
2022,CEPU Plumbing Division Federal Office,"100,000",Labor (QLD),Labor,Donation Received,Union,,🔗
2022,Electrical Trades Union of Australia - Victoria Branch,"100,000",Labor (VIC),Labor,Donation Received,Union,,🔗
2022,Adani Mining Pty Ltd,"100,000",LNP QLD,Liberal/Nationals,Donation Received,Energy and Resource Companies,Fossil Fuel Industry > Coal,🔗
2022,JGI Quarry Pty Ltd,"100,000",LNP QLD,Liberal/Nationals,Donation Received,Energy and Resource Companies,Other Energy and Resource Companies,🔗
2022,AM Diagnostic,"100,000",Liberals (WA),Liberal/Nationals,Donation Received,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,AM Diagnostic,"100,000",Liberals (WA),Liberal/Nationals,Donation Received,Pharma & Private Health Industry,Private Healthcare Providers,🔗
2022,Capital [b] Pty Ltd,"100,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Banking and Finance Industry,,🔗
2022,Fitzgerald Mr Barry,"100,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Liberals (SA),"100,000",Liberal Party (Fed),Liberal/Nationals,Other Receipt,Intra-Political Party,,🔗
2022,"Nguyen, Thao","100,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Individual,,🔗
2022,"Nguyen, Thao","100,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Sugolena Holdings Pty Ltd,"100,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Developers and Property Industry,Developers/Property,🔗
2022,Mr Danny Wallis,"100,000",Liberal Party (Fed),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Gatenby Investment Fund,"100,000",Liberals (TAS),Liberal/Nationals,Other Receipt,Intra-Political Party,,🔗
2022,Liberal Foundation Inc,"100,000",Liberals (SA),Liberal/Nationals,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,Higgins 200 Foundation Ltd,"100,000",Liberals (VIC),Liberal/Nationals,Donation Received,Political Fundraising Bodies,Associated Entities,🔗
2022,James Symond,"100,000",Liberals (VIC),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Shane Splatt,"100,000",Liberals (VIC),Liberal/Nationals,Donation Received,Individual,,🔗
2022,Yaselleraph Pty Ltd,"100,000",Liberals (VIC),Liberal/Nationals,Donation Received,Uncategorised Company,,🔗
2022,"BAILLIE, MARK","100,000",Liberals (NSW),Liberal/Nationals,Donation Received,Individual,,🔗
