     ,Donor Name                                                                                 ,Type       ,Industry Sector                                                       ,Canonical Industry Sector
 100 ,Levantine Hill                                                                             ,company    ,Food and Beverage/Wine Production                                     ,Food and Beverage
 101 ,Adelaide Brighton Ltd                                                                      ,company    ,Construction materials and building products                          ,Building Materials
 102 ,"Macfie, Bryant"                                                                           ,individual ,                                                                      ,
 103 ,"MacLachlan, Hugh"                                                                         ,individual ,                                                                      ,
 104 ,Adena Rural Developments Pty Ltd                                                           ,company    ,Unknown                                                               ,Unknown
 105 ,"Magnusson, Alan Hastings"                                                                 ,individual ,                                                                      ,
 106 ,Manildra Group                                                                             ,company    ,Food and beverage manufacturing.                                      ,
 107 ,Adgallery Group Pty Ltd                                                                    ,company    ,Advertising/Marketing and Creative Services                           ,Marketing and Advertising
 108 ,ADI Limited                                                                                ,company    ,Unknown                                                               ,Unknown
 109 ,"McKay, Greg"                                                                              ,individual ,                                                                      ,
 110 ,"McKinney, Margot"                                                                         ,individual ,                                                                      ,
 111 ,Adler Corporation Pty Ltd                                                                  ,company    ,Unknown                                                               ,Unknown
 112 ,Adshel Street Furniture Pty Ltd                                                            ,company    ,Outdoor Advertising                                                   ,Advertising
 113 ,Members Health Fund Alliance                                                               ,company    ,Healthcare/Insurance.                                                 ,Healthcare
 114 ,Merck Healthcare                                                                           ,company    ,Healthcare/Pharmaceuticals                                            ,Healthcare
 115 ,Adstream Marine Services Pty Limited                                                       ,company    ,Transportation and Logistics                                          ,Logistics
 116 ,Advance Civil Engineering Pty Ltd                                                          ,company    ,Construction and Engineering                                          ,Construction and Engineering
 117 ,Minerals Council of Australia                                                              ,company    ,Mining and Natural Resources.                                         ,Mining and Minerals
 118 ,"Morris, Warwick"                                                                          ,individual ,                                                                      ,
 119 ,MSD                                                                                        ,company    ,Pharmaceuticals/Healthcare                                            ,Pharmaceuticals and Healthcare
 120 ,"Natale, Darren"                                                                           ,individual ,                                                                      ,
 121 ,Advance Publicity Pty Ltd                                                                  ,company    ,Marketing and Advertising                                             ,Marketing and Advertising
 122 ,Advanfly Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
 123 ,National Automotive Leasing and Salary Packaging Association                               ,company    ,Insurance/Finance                                                     ,Insurance
 124 ,National Building Foundation                                                               ,company    ,Unknown                                                               ,Unknown
 125 ,Advocacy Services Australia Limited                                                        ,company    ,Unknown                                                               ,Unknown
 126 ,AEF Trading Pty Ltd                                                                        ,company    ,Unknown                                                               ,Unknown
 127 ,AENM Holdings Pty Limited                                                                  ,company    ,Unknown                                                               ,Unknown
 128 ,Aeropelican Air Service Pty Ltd                                                            ,company    ,Aviation/Transportation.                                              ,Aviation
 129 ,"Nioa, Elizabeth"                                                                          ,individual ,                                                                      ,
 130 ,Afterpay Australia PTY LTD                                                                 ,company    ,FinTech (Financial Technology)                                        ,FinTech
 131 ,AG Business Investments Pty Ltd                                                            ,company    ,Unknown                                                               ,Unknown
 132 ,AGL Energy Limited                                                                         ,company    ,Utilities/Energy                                                      ,Utilities
 133 ,Agressor Corporation Pty Ltd                                                               ,company    ,Unknown                                                               ,Unknown
 134 ,Optima Trading Trust                                                                       ,company    ,Unknown                                                               ,Unknown
 135 ,AGSX Investables Group Pty Ltd                                                             ,company    ,Finance/Investment                                                    ,Investment
 136 ,AGSX PTY LTD                                                                               ,company    ,Finance/Investment                                                    ,Investment
 137 ,Origin Energy                                                                              ,company    ,Energy/Utilities                                                      ,Utilities
 138 ,Ahden Engineering (Aust) Pty Ltd                                                           ,company    ,Engineering/Manufacturing                                             ,Manufacturing
 139 ,AHL Investments Pty Ltd                                                                    ,company    ,Finance - Wealth Management                                           ,Wealth Management
 140 ,Ahrens Group Pty Ltd                                                                       ,company    ,"Construction, specifically in the areas of engineering,"             ,
 141 ,"Peabody, Terrence"                                                                        ,individual ,                                                                      ,
 142 ,"Perini, Sally"                                                                            ,individual ,                                                                      ,
 143 ,Aileendonan Investments Pty Ltd                                                            ,company    ,Unknown                                                               ,Unknown
 144 ,AIMS HOME LOANS PTY LTD                                                                    ,company    ,Real estate financing and lending                                     ,Real Estate Finance
 145 ,AirBoss Ltd                                                                                ,company    ,Unknown                                                               ,Unknown
 146 ,Airport Group Australia Ltd                                                                ,company    ,Airport/Aviation/Transportation.                                      ,Aviation
 147 ,"Phillipson, James"                                                                        ,individual ,                                                                      ,
 148 ,"PITCHER, RONALD"                                                                          ,individual ,                                                                      ,
 149 ,Airtasker Limited                                                                          ,company    ,Technology Services/On-demand labor marketplace                       ,Technology Services
 150 ,Akira Investments Ltd - for Joy Chambers-Grundy                                            ,individual ,                                                                      ,
 151 ,AKITIO Pty Ltd                                                                             ,company    ,Unknown                                                               ,Unknown
 152 ,Pratt Holdings P/L                                                                         ,company    ,Packaging and Manufacturing.                                          ,
 153 ,Aladdin Holdings Pty Ltd                                                                   ,company    ,The industry sector for Aladdin Holdings Pty Ltd is                   ,
 154 ,PricewaterhouseCoopers                                                                     ,company    ,Professional Services/Consulting                                      ,Professional Services
 155 ,Albany Heights Pty Ltd                                                                     ,company    ,Unknown                                                               ,Unknown
 156 ,Alderlay Pty Ltd                                                                           ,company    ,Unknown                                                               ,Unknown
 157 ,Aldex Pty Ltd                                                                              ,company    ,Unknown                                                               ,Unknown
 158 ,"Quinn, Michael"                                                                           ,individual ,                                                                      ,
 159 ,Aldoga Aluminium Smelter Pty Ltd                                                           ,company    ,The industry sector for Aldoga Aluminium Smelter                      ,
 160 ,Reach Support Service for Homeless and Disability Incorporated                             ,company    ,Social services/human services/nonprofit sector                       ,Social Services
 161 ,"Read, Tim"                                                                                ,individual ,                                                                      ,
 162 ,Rebecca Pizzey                                                                             ,individual ,                                                                      ,
 163 ,Alexander Joy Franchising Pty Ltd                                                          ,company    ,Unknown                                                               ,Unknown
 164 ,Registered Clubs Association of NSW (t/as ClubsNSW)                                        ,company    ,Hospitality and Leisure                                               ,Hospitality and Leisure
 165 ,Alfa Omega Nominees Pty Ltd                                                                ,company    ,Unknown                                                               ,Unknown
 166 ,"Roche, James"                                                                             ,individual ,                                                                      ,
 167 ,ALH Group Pty Ltd                                                                          ,company    ,Hospitality/Entertainment                                             ,Hospitality
 168 ,"Russell, Heston"                                                                          ,individual ,                                                                      ,
 169 ,Alikana Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
 170 ,Alinta Ltd                                                                                 ,company    ,Energy/Utilities                                                      ,Utilities
 171 ,Alinta Servco Pty Ltd                                                                      ,company    ,Energy/Utilities                                                      ,Utilities
 172 ,Allam Homes Pty Ltd                                                                        ,company    ,Construction/Real Estate/Property Development                         ,Real Estate Development
 173 ,Allco Finance Group Limited                                                                ,company    ,"Financial Services (specifically aircraft leasing, corporate"        ,Financial Services
 174 ,"Schultz, James"                                                                           ,individual ,                                                                      ,
 175 ,Allen & Buckeridge Pty Ltd                                                                 ,company    ,                                                                      ,
 176 ,"Sedgman, Lynette"                                                                         ,individual ,                                                                      ,
 177 ,Sentinel Property Group                                                                    ,company    ,Unknown                                                               ,Unknown
 178 ,Allenhill Pty Ltd t/a Riverton IGA                                                         ,company    ,Retail/Grocery/Food & Beverage                                        ,Retail
 179 ,Allerton Investments Pty Ltd                                                               ,company    ,Since Allerton Investments Pty Ltd is not a                           ,
 180 ,Alliance of Australian Retailers Pty Ltd                                                   ,company    ,Retail                                                                ,Retail
 181 ,Allianz Australia Limited                                                                  ,company    ,Insurance                                                             ,Insurance
 182 ,Allied Equipment Pty Ltd                                                                   ,company    ,Unknown                                                               ,Unknown
 183 ,Almona Pty Ltd                                                                             ,company    ,Unknown                                                               ,Unknown
 184 ,Alpha Diversification Pty Ltd                                                              ,company    ,Unknown                                                               ,Unknown
 185 ,"Staley, Louise"                                                                           ,individual ,                                                                      ,
 186 ,Alquip Pty Ltd                                                                             ,company    ,Unknown                                                               ,Unknown
 187 ,Altum Pty Ltd as Trustee for Altum Property Unit Trust                                     ,company    ,Real Estate/Property Development                                      ,Real Estate Development
 188 ,Alzino & Co Pty Ltd                                                                        ,company    ,Unknown                                                               ,Unknown
 189 ,AM Diagnostics Pty Ltd                                                                     ,company    ,Medical technology/healthcare                                         ,Healthcare
 190 ,Amalgamated Holdings Limited                                                               ,company    ,Unknown                                                               ,Unknown
 191 ,Tech Council of Australia                                                                  ,company    ,Unknown                                                               ,Unknown
 192 ,Telstra Corporation                                                                        ,company    ,Telecommunications                                                    ,Telecommunications
 193 ,Amalgamated Hotels Pty Ltd                                                                 ,company    ,Hospitality/Tourism                                                   ,Tourism
 194 ,The Lottery Corporation                                                                    ,company    ,Gambling/gaming                                                       ,Gambling
 195 ,The Pharmacy Guild of Australia                                                            ,company    ,Healthcare/Future pharmacy industry sector                            ,Healthcare
 196 ,Amalgamated Television Services Pty Ltd                                                    ,company    ,Unknown                                                               ,Unknown
 197 ,The Trustee for St Baker Family Trust                                                      ,company    ,Unknown                                                               ,Unknown
 198 ,The Trustee for the MaiTri Foundation                                                      ,company    ,Unknown                                                               ,Unknown
 199 ,Amazon Commercial Services Pty Ltd                                                         ,company    ,Technology/E-commerce                                                 ,E-commerce
 200 ,AMAZON WEB SERVICES AUSTRALIA PTY LTD                                                      ,company    ,Technology Services/Cloud Computing                                   ,Cloud Computing
 201 ,Amber Electric Pty Ltd                                                                     ,company    ,Utility/Energy                                                        ,Energy
 202 ,"Trauer, Barbara"                                                                          ,individual ,                                                                      ,
 203 ,Amcor Limited                                                                              ,company    ,Packaging and Containers.                                             ,
 204 ,Amec Services Pty Ltd                                                                      ,company    ,Engineering and Construction Services.                                ,
 205 ,Amflo Pty Ltd                                                                              ,company    ,Unknown                                                               ,Unknown
 206 ,AMGEN AUSTRALIA PTY LIMITED                                                                ,company    ,Pharmaceutical/biotechnology/health care                              ,Pharmaceuticals
 207 ,"Walsh, Peter"                                                                             ,individual ,                                                                      ,
 208 ,"Warriner, Kenneth"                                                                        ,individual ,                                                                      ,
 209 ,"Weir, Deanne"                                                                             ,individual ,                                                                      ,
 210 ,"Welch, Richard"                                                                           ,individual ,                                                                      ,
 211 ,Westpac Banking Corporation                                                                ,company    ,Banking and Finance.                                                  ,
 212 ,"Whittingham, Monica"                                                                      ,individual ,                                                                      ,
 213 ,"Wilkinson, Tobi"                                                                          ,individual ,                                                                      ,
 214 ,AMK Holdings Pty Ltd                                                                       ,company    ,Unknown                                                               ,Unknown
 215 ,Amon Pty Ltd                                                                               ,company    ,Unknown                                                               ,Unknown
 216 ,AMP Services Ltd                                                                           ,company    ,Financial Services/Investment Management                              ,Investment Management
 217 ,"Zaveer, Malik"                                                                            ,individual ,                                                                      ,
 218 ,Ampol Limited                                                                              ,company    ,Energy/Oil and Gas                                                    ,Energy
 219 ,"Abercrombie, Andrew"                                                                      ,individual ,                                                                      ,
 220 ,Amsterdam Street Pty Ltd                                                                   ,company    ,Unknown                                                               ,Unknown
 221 ,Amtrade International Pty Ltd                                                              ,company    ,Wholesale and trading of chemicals and related products               ,Chemical Trading
 222 ,"Acton, Alan and Jennifer"                                                                 ,individual ,                                                                      ,
 223 ,"Adams, Cameron"                                                                           ,individual ,                                                                      ,
 224 ,AMW Projects Pty Ltd                                                                       ,company    ,Unknown                                                               ,Unknown
 225 ,Anaconda Nickel Ltd                                                                        ,company    ,Mining and resources                                                  ,Mining and Minerals
 226 ,Anacta Strategies Pty Ltd                                                                  ,company    ,Unknown                                                               ,Unknown
 227 ,Andrianopoulos Motors Pty Ltd                                                              ,company    ,Automotive industry                                                   ,Automotive
 228 ,AGS World Transport                                                                        ,company    ,Transportation/Logistics                                              ,Logistics
 229 ,Angus & Coote Pty Ltd                                                                      ,company    ,Retail - Jewelry                                                      ,Jewelry Retail
 230 ,"Albrecht, Martin"                                                                         ,individual ,                                                                      ,
 231 ,"Allen, Toby"                                                                              ,individual ,                                                                      ,
 232 ,"Almagor, Daniel and Berry Liberman"                                                       ,individual ,                                                                      ,
 233 ,Ankla Pty Ltd                                                                              ,company    ,Financial Services/Investment Management                              ,Investment Management
 234 ,Annapurna Pty Ltd                                                                          ,company    ,Food and beverage industry                                            ,Food and Beverage
 235 ,Annland Pty Ltd                                                                            ,company    ,Unknown                                                               ,Unknown
